year,team,fifa_rank,elo_rating,recent_form,goals_scored,goals_conceded,possession,xg,squad_market_value,average_age,manager_experience,wc_pedigree,is_champion
2014,Spain,18,2021,0.732,1.67,0.97,56.02,1.55,1002.98,24.43,6.98,4.67,0
2014,England,19,2013,0.657,1.5,1.12,53.88,1.48,933.0,25.27,5.04,4.0,0
2014,Portugal,22,2009,0.618,1.16,1.1,52.8,1.34,875.88,25.23,4.64,3.67,0
2014,Netherlands,22,2005,0.641,1.5,1.14,53.59,1.41,883.42,26.95,4.26,3.33,0
2014,Italy,21,2017,0.717,1.24,1.08,52.47,1.44,985.13,26.66,6.5,6.33,0
2014,Belgium,19,2001,0.723,1.71,1.22,54.27,1.3,821.92,26.56,4.67,3.0,0
2014,Croatia,25,1989,0.565,1.14,1.45,52.05,1.45,673.55,25.79,4.01,2.0,0
2014,Uruguay,21,1985,0.479,1.37,1.21,47.64,1.2,636.16,23.49,5.79,1.67,0
2018,Argentina,18,2021,0.744,1.5,1.04,58.38,1.31,1098.72,26.3,4.61,7.0,0
2018,Brazil,16,2041,0.859,1.45,0.87,59.96,1.76,1282.12,26.2,3.95,8.67,0
2018,France,16,2077,1.0,2.6,0.43,62.49,2.1,1261.58,24.66,8.66,8.33,1
2018,Germany,15,2029,0.809,1.92,0.93,59.7,1.6,1194.35,25.2,7.36,7.67,0
2018,Spain,16,2017,0.693,1.59,1.17,57.58,1.41,1058.4,23.4,5.54,4.67,0
2018,England,20,2009,0.652,1.49,1.25,55.2,1.48,958.04,26.12,5.4,4.0,0
2018,Portugal,17,2005,0.675,1.2,1.05,54.27,1.58,937.71,25.74,3.9,3.67,0
2018,Netherlands,19,2001,0.613,1.48,1.05,53.74,1.38,884.42,25.07,6.49,3.33,0
2018,Italy,16,2013,0.715,1.84,1.17,57.73,1.43,1039.66,26.32,5.87,6.33,0
2018,Belgium,17,1997,0.692,1.35,1.12,50.62,1.44,825.5,25.91,5.31,3.0,0
2018,Croatia,25,1985,0.503,1.21,1.25,48.39,1.1,724.47,24.38,5.04,2.0,0
2018,Uruguay,23,1981,0.525,1.19,1.19,51.64,1.23,673.77,25.7,4.82,1.67,0
2022,Argentina,17,2075,1.0,2.05,0.66,54.43,2.29,1139.66,26.5,5.88,7.0,1
2022,Brazil,14,2055,0.847,2.13,0.81,59.76,1.7,1340.74,24.36,7.02,8.67,0
2022,France,13,2051,0.821,1.97,1.0,60.7,1.78,1292.2,26.5,7.39,8.33,0
2022,Germany,13,2043,0.837,1.87,0.99,59.14,1.38,1213.78,23.36,6.89,7.67,0
2022,Spain,16,2031,0.668,1.51,1.1,53.58,1.7,1084.34,26.41,6.09,4.67,0
2022,England,21,2023,0.596,1.66,1.08,54.76,1.42,1015.68,24.32,6.88,4.0,0
2022,Portugal,22,2019,0.646,1.82,1.15,53.8,1.48,927.98,26.49,6.15,3.67,0
2022,Netherlands,19,2015,0.606,1.51,1.07,52.37,1.45,929.73,24.86,4.84,3.33,0
2022,Italy,21,2027,0.694,1.66,1.07,54.92,1.5,1052.6,26.68,7.02,6.33,0
2022,Belgium,19,2011,0.656,1.36,1.25,53.01,1.62,885.67,25.66,5.12,3.0,0
2022,Croatia,25,1999,0.533,1.67,1.25,52.34,1.18,739.07,26.98,5.73,2.0,0
2022,Uruguay,20,1995,0.549,1.4,1.48,49.45,1.06,713.19,24.79,2.36,1.67,0
